name,lat,lng,source,checked_on
평택,36.9907972,127.085167,https://ko.wikipedia.org/wiki/평택역,2026-09-21
성환,36.91556,127.12778,https://ko.wikipedia.org/wiki/성환역,2026-09-21
직산,36.87083,127.14389,https://ko.wikipedia.org/wiki/직산역,2026-09-21
두정,36.8339917,127.1491861,https://ko.wikipedia.org/wiki/두정역,2026-09-21
천안,36.8101194,127.146825,https://ko.wikipedia.org/wiki/천안역,2026-09-21
소정리,36.71861,127.15556,https://ko.wikipedia.org/wiki/소정리역,2026-09-21
전의,36.67833,127.20306,https://ko.wikipedia.org/wiki/전의역,2026-09-21
전동,36.65417,127.26528,https://ko.wikipedia.org/wiki/전동역,2026-09-21
서창,36.6259694,127.2902972,https://ko.wikipedia.org/wiki/서창역,2026-09-21
조치원,36.6043361,127.2954278,https://ko.wikipedia.org/wiki/조치원역,2026-09-21
내판,36.55722,127.32472,https://ko.wikipedia.org/wiki/내판역,2026-09-21
부강,36.53222,127.36528,https://ko.wikipedia.org/wiki/부강역,2026-09-21
매포,36.49889,127.39083,https://ko.wikipedia.org/wiki/매포역,2026-09-21
신탄진,36.4491028,127.4284028,https://ko.wikipedia.org/wiki/신탄진역,2026-09-21
회덕,36.4025,127.42167,https://ko.wikipedia.org/wiki/회덕역,2026-09-21
대전조차장,36.37111,127.4225,https://ko.wikipedia.org/wiki/대전조차장역,2026-09-21
세천,36.33667,127.49111,https://ko.wikipedia.org/wiki/세천역,2026-09-21
옥천,36.2976583,127.5652861,https://ko.wikipedia.org/wiki/옥천역,2026-09-21
이원,36.24389,127.61806,https://ko.wikipedia.org/wiki/이원역,2026-09-21
지탄,36.24167,127.67583,https://ko.wikipedia.org/wiki/지탄역,2026-09-21
심천,36.23694,127.72028,https://ko.wikipedia.org/wiki/심천역,2026-09-21
각계,36.20806,127.72556,https://ko.wikipedia.org/wiki/각계역,2026-09-21
영동,36.17222,127.78667,https://ko.wikipedia.org/wiki/영동역,2026-09-21
황간,36.22417,127.91222,https://ko.wikipedia.org/wiki/황간역,2026-09-21
추풍령,36.21333,127.99583,https://ko.wikipedia.org/wiki/추풍령역,2026-09-21
신암,36.16194,128.01056,https://ko.wikipedia.org/wiki/신암역,2026-09-21
직지사,36.125,128.03972,https://ko.wikipedia.org/wiki/직지사역,2026-09-21
김천,36.12333,128.11472,https://ko.wikipedia.org/wiki/김천역,2026-09-21
대신,36.15278,128.19639,https://ko.wikipedia.org/wiki/대신역,2026-09-21
아포,36.15861,128.25722,https://ko.wikipedia.org/wiki/아포역,2026-09-21
구미,36.1287694,128.3296222,https://ko.wikipedia.org/wiki/구미역,2026-09-21
사곡,36.09806,128.35611,https://ko.wikipedia.org/wiki/사곡역,2026-09-21
북삼,36.05611,128.34528,https://ko.wikipedia.org/wiki/북삼역,2026-09-21
약목,36.03722,128.36444,https://ko.wikipedia.org/wiki/약목역,2026-09-21
왜관,35.99222,128.40028,https://ko.wikipedia.org/wiki/왜관역,2026-09-21
연화,35.965,128.44722,https://ko.wikipedia.org/wiki/연화역,2026-09-21
신동,35.95556,128.48528,https://ko.wikipedia.org/wiki/신동역,2026-09-21
지천,35.8975,128.50028,https://ko.wikipedia.org/wiki/지천역,2026-09-21
대구,35.8759306,128.5960528,https://ko.wikipedia.org/wiki/대구역,2026-09-21
고모,35.85889,128.67861,https://ko.wikipedia.org/wiki/고모역,2026-09-21
가천,35.85361,128.69306,https://ko.wikipedia.org/wiki/가천역,2026-09-21
경산,35.8192944,128.72806,https://ko.wikipedia.org/wiki/경산역,2026-09-21
삼성,35.7654278,128.7203833,https://ko.wikipedia.org/wiki/삼성역_(경산),2026-09-21
남성현,35.70528,128.71694,https://ko.wikipedia.org/wiki/남성현역,2026-09-21
청도,35.64,128.74639,https://ko.wikipedia.org/wiki/청도역,2026-09-21
신거,35.59806,128.76528,https://ko.wikipedia.org/wiki/신거역,2026-09-21
상동,35.55556,128.76056,https://ko.wikipedia.org/wiki/상동역_(밀양),2026-09-21
밀양,35.4753111,128.7702,https://ko.wikipedia.org/wiki/밀양역,2026-09-21
미전,35.40083,128.82444,https://ko.wikipedia.org/wiki/미전역,2026-09-21
삼랑진,35.39917,128.84306,https://ko.wikipedia.org/wiki/삼랑진역,2026-09-21
원동,35.3626528,128.9202722,https://ko.wikipedia.org/wiki/원동역,2026-09-21
물금,35.3071472,128.9853694,https://ko.wikipedia.org/wiki/물금역,2026-09-21
화명,35.23778,129.00667,https://ko.wikipedia.org/wiki/화명역_(한국철도공사),2026-09-21
구포,35.2046111,128.9965583,https://ko.wikipedia.org/wiki/구포역_(한국철도공사),2026-09-21
부산진,35.128725,129.0499056,https://ko.wikipedia.org/wiki/부산진역_(한국철도공사),2026-09-21
옥산,36.2829222,128.0944278,https://ko.wikipedia.org/wiki/옥산역,2026-09-21
청리,36.33917,128.12889,https://ko.wikipedia.org/wiki/청리역,2026-09-21
상주,36.4103917,128.1639028,https://ko.wikipedia.org/wiki/상주역,2026-09-21
백원,36.48194,128.175,https://ko.wikipedia.org/wiki/백원역_(상주),2026-09-21
함창,36.56972,128.17472,https://ko.wikipedia.org/wiki/함창역,2026-09-21
점촌,36.5956083,128.2033528,https://ko.wikipedia.org/wiki/점촌역,2026-09-21
용궁,36.60417,128.27722,https://ko.wikipedia.org/wiki/용궁역,2026-09-21
개포,36.6269167,128.3286222,https://ko.wikipedia.org/wiki/개포역,2026-09-21
예천,36.6478222,128.444361,https://ko.wikipedia.org/wiki/예천역,2026-09-21
어등,36.71528,128.56,https://ko.wikipedia.org/wiki/어등역,2026-09-21
영주,36.8109361,128.6257472,https://ko.wikipedia.org/wiki/영주역,2026-09-21
이촌,37.52254,126.97316,https://ko.wikipedia.org/wiki/이촌역,2026-09-21
서빙고,37.5195694,126.9885583,https://ko.wikipedia.org/wiki/서빙고역,2026-09-21
한남,37.5291306,127.0080972,https://ko.wikipedia.org/wiki/한남역,2026-09-21
옥수,37.5405,127.018722,https://ko.wikipedia.org/wiki/옥수역,2026-09-21
