"name","lat","lng"
"횡성","0","0"
"진부(오대산)","0","0"
"장사","0","0"
"영덕","0","0"
"강구","0","0"
"김천(구미)","0","128.1803226"
"둔내","0","0"
"서원주","0","0"
"양원(영동선)","36.964222","129.091428"
"민둥산","37.243657","128.773221"
"센텀","0","0"
"추암","37.478186","129.157664"
"삼척해변","37.468131","129.165864"
"삼척","37.429928","129.178722"
"가야","35.16139","129.04278"
"범일","35.1451","129.0575"
"채운신호장","36.16333","127.04889"
"연무대","36.12444","127.0875"
"판교(성남)","37.3947611","127.1111361"
"성남","37.39472","127.11944"
"이매","37.3957306","127.1283667"
"삼동","37.408654","127.2032791"
"경기광주","37.399198","127.2526508"
"초월","37.373487","127.299907"
"곤지암","37.350518","127.346193"
"신둔도예촌","37.315493","127.405249"
"이천","37.26419","127.442045"
"부발","37.260411","127.490308"
"세종대왕릉","37.293653","127.570796"
"여주","37.28288","127.62857"
"광운대","37.62306","127.06139"
"의정부","37.737861","127.046028"
"동두천","37.92774","127.054691"
"연천","38.10167","127.07389"
"백마고지","38.257368","127.165992"
"일산","37.6823417","126.7695472"
"문산","37.854556","126.787583"
"도라산","37.8985083","126.7092944"
"백산","37.1383417","129.0340333"
"모량","35.82694","129.12417"
"부산진","35.128725","129.0499056"
"문경","36.71972","128.11083"
"문경(구역)","36.7294444","128.1063889"
